source;target;id;label;latitude;longitude
VVO;BQS;BQS;Blagoveschensk;50.15;127.32
VVO;IKT;IKT;Irkutsk;52.297;104.296
VVO;MOW;MOW;Moscow;55.752;37.615
VVO;OVB;OVB;Novosibirsk;55.041;82.934
VVO;PKC;PKC;Petropavlovsk-Kamchats;53.01;158.39
VVO;UUS;UUS;Yuzhno-Sakhalinsk;46.958;142.733
VVO;YKS;YKS;Yakutsk;62.033;129.733
VVO;KHV;KHV;Khabarovsk;48.48;135.092
PYJ;MOW;AAQ;Anapa;44.891;37.323
PYJ;YKS;AER;Sochi;43.6;39.73
LED;AAQ;ASF;Astrakhan;46.349;48.049
LED;AER;CEE;Cherepovets;59.133;37.9
LED;ASF;CSY;Cheboksary;56.132;47.251
LED;CEE;EGO;Belgorod;50.603;36.587
LED;CSY;IJK;Izhevsk;56.85;53.233
LED;EGO;KJA;Krasnojarsk;56.009;92.791
LED;IJK;KUF;Samara;53.2;50.15
LED;KJA;KVX;Kirov;56.5;60.35
LED;KUF;KZN;Kazan;55.787;49.124
LED;KVX;MCX;Makhachkala;42.975;47.502
LED;KZN;MMK;Murmansk;68.971;33.081
LED;MCX;MRV;Mineralnye Vody;44.21;43.135
LED;MMK;NBC;Naberevnye Chelny;55.42;52.2
LED;MOW;OMS;Omsk;55;73.4
LED;MRV;PEE;Perm;58;56.25
LED;NBC;REN;Orenburg;51.772;55.098
LED;OMS;SCW;Syktyvkar;61.666;50.812
LED;OVB;SVX;Ekaterinburg;56.5;60.35
LED;PEE;TJM;Tyumen;57.152;65.527
LED;REN;UCT;Ukhta;63.562;53.706
LED;SCW;UFA;Ufa;54.775;56.037
LED;SVX;UUA;Bugulma;54.537;52.798
LED;TJM;VOG;Volgograd;48.804;44.585
LED;UCT;VOZ;Voronezh;51.669;39.192
LED;UFA;ARH;Arkhangelsk;64.547;40.548
LED;UUA;CEK;Chelyabinsk;55.154;61.429
LED;VOG;KGD;Kaliningrad;54.71;20.мая
LED;VOZ;KRR;Krasnodar;45.048;38.972
LED;YKS;NSK;Norilsk;69.353;88.202
LED;ARH;IAR;Yaroslavl;57.629;39.873
LED;CEK;ROV;Rostov;57.191;39.413
LED;KGD;LED;Saint Petersburg;59.894;30.264
LED;KRR;GDX;Magadan;59.566;150.8
LED;NSK;ULK;Lensk;60.725;114.927
LED;IAR;MJZ;Mirnyj;62.32;113.57
LED;ROV;PYJ;Polyarnyj;69.11;33.27
CEK;KZN;UUD;Ulan-ude;51.826;107.609
CEK;LED;VVO;Vladivostok;43.105;131.873
CEK;MOW;EYK;Beloyarsky;63.43;66.4
CEK;OVB;RTW;Saratov;51.566;46.033
ASF;KZN;BTK;Bratsk;56.132;101.614
ASF;LED;HMA;Khanty-Mansiysk;61.004;69.001
ASF;MOW;HTA;Chita;52.033;113.55
ASF;MRV;NJC;Nizhnevartovsk;60.934;76.553
GDX;IKT;SGC;Surgut;61.25;73.416
GDX;MOW;SLY;Salekhard;66.53;66.601
GDX;YKS;NUX;Novy Urengoy;66.083;76.633
GDX;KHV;OVS;Sovetsky;61.22;63.34
YKS;BQS;ABA;Abakan;53.715;91.429
YKS;GDX;BAX;Barnaul;53.36;83.763
